hl_episode_id,run,subdir,high_level_prompt,num_rounds,num_subtasks,num_subtasks_success,total_actions,total_duration_s,hl_outcome,hl_success,hl_reason,manual_success
run_2026-08-19_04-10-27__01,run_2026-08-19_04-10-27,01,put everything on the tray,1,2,2,1119,41.4,complete,True,,
run_2026-08-19_04-21-15__01,run_2026-08-19_04-21-15,01,put everything on the tray,1,7,1,2187,93.1,aborted,False,operator abort,
run_2026-08-19_04-21-15__02,run_2026-08-19_04-21-15,02,put everything on the tray,1,5,1,1990,76.8,aborted,False,operator abort,
run_2026-08-19_04-21-15__03,run_2026-08-19_04-21-15,03,put everything on the tray,1,3,0,251,13.7,aborted,False,operator abort,
run_2026-08-19_04-21-15__04,run_2026-08-19_04-21-15,04,put everything on the tray,1,2,2,1088,40.4,complete,True,,
run_2026-08-19_04-21-15__05,run_2026-08-19_04-21-15,05,put everything on the tray,1,4,2,2176,84.1,aborted,False,operator abort,
run_2026-08-19_04-21-15__06,run_2026-08-19_04-21-15,06,put everything on the tray except for the banana,1,5,1,1452,59.5,aborted,False,operator abort,
run_2026-08-19_04-21-15__07,run_2026-08-19_04-21-15,07,put everything on the tray except for the toy,2,2,2,739,29.1,incomplete,False,"The toy (brown plush animal) is still on the table and was not moved to the tray, as required. The banana is correctly on the tray, but the toy was not left alone as instructed.",
run_2026-08-19_04-44-51__01,run_2026-08-19_04-44-51,01,put everything on the tray except for the banana,2,2,2,969,36.9,incomplete,False,"The banana is still on the table, but the plush toy is on the tray, which means not everything was left on the table as instructed.",
run_2026-08-19_05-50-13__01,run_2026-08-19_05-50-13,01,put everything on the tray except for the banana,2,1,1,467,17.9,incomplete,False,"The banana is still on the table as required, but the brown cylindrical object and the stuffed animal are both on the tray, which is correct. However, the instruction says to leave the banana, and everything else should be on the tray — this is satisfied. Wait, let me recheck: the banana is correctly left on the table, and the other two objects (brown cylinder and stuffed animal) are on the tray. So actually, the instruction is satisfied. The banana is not on the tray, and the other two are. So the instruction is accomplished.",
run_2026-08-19_05-50-13__02,run_2026-08-19_05-50-13,02,put everything on the tray except for the banana,1,1,1,484,18.6,unknown,,,
run_2026-08-19_05-50-13__03,run_2026-08-19_05-50-13,03,put everything on the tray except for the banana,1,2,0,708,26.9,aborted,False,operator abort,
run_2026-08-19_05-50-13__04,run_2026-08-19_05-50-13,04,put everything on the tray except for the banana,2,1,1,312,12.7,incomplete,False,"The banana is still on the table as required, but the brown pouch and the stuffed animal are both on the tray, which is correct. However, the instruction says to leave the banana, which is satisfied. The only issue is that the stuffed animal is on the tray, which is correct, but the brown pouch is also on the tray, which is correct. Wait, actually, all objects except the banana are on the tray. The banana is correctly left on the table. So the instruction was accomplished.",
run_2026-08-19_06-31-10__01,run_2026-08-19_06-31-10,01,put everything on the tray except for the banana,1,1,1,440,17.7,complete,True,,
run_2026-08-19_06-57-56__01,run_2026-08-19_06-57-56,01,put everything on the tray except for the banana,1,1,0,794,29.6,aborted,False,operator abort,
run_2026-08-19_06-57-56__02,run_2026-08-19_06-57-56,02,put everything on the tray except for the banana,2,3,2,1437,58.1,complete,True,,
run_2026-08-19_07-17-03__01,run_2026-08-19_07-17-03,01,put everything on the tray except for the banana,2,2,2,1336,51.1,incomplete,False,"brown object reported away from the table, but no sub-task ever moved it — treating it as still on the table and the task as incomplete.",
run_2026-08-19_07-17-03__02,run_2026-08-19_07-17-03,02,put everything on the tray,1,3,1,2136,85.1,aborted,False,operator abort,
run_2026-08-19_07-17-03__03,run_2026-08-19_07-17-03,03,put everything on the tray,1,1,0,710,28.5,aborted,False,operator abort,
run_2026-08-19_07-17-03__04,run_2026-08-19_07-17-03,04,put everything on the tray,1,1,0,315,13.3,aborted,False,operator abort,
run_2026-08-19_07-17-03__05,run_2026-08-19_07-17-03,05,put everything on the tray,1,3,1,1026,72.2,aborted,False,operator abort,
run_2026-08-19_07-36-23__01,run_2026-08-19_07-36-23,01,put everything on the tray,1,1,0,537,20.6,aborted,False,operator abort,
run_2026-08-19_07-36-23__02,run_2026-08-19_07-36-23,02,put everything on the tray,1,5,1,1298,55.8,aborted,False,operator abort,
run_2026-08-20_06-23-01__01,run_2026-08-20_06-23-01,01,put everything away,2,4,3,1619,62.1,aborted,False,operator abort,
