episode_id,run,subdir,episode_index,vla_prompt,high_level_prompt,round,num_actions,duration_s,converged,vlm_success,vlm_reason,actions_csv,manual_success
run_2026-08-19_04-10-27__01__ep0,run_2026-08-19_04-10-27,01,0,put the stuffed animal on the tray,,,552,19.5,True,True,The stuffed animal is now on the tray as instructed.,actions/run_2026-08-19_04-10-27__01__ep0.csv,
run_2026-08-19_04-10-27__01__ep1,run_2026-08-19_04-10-27,01,1,put the banana on the tray,,,567,21.9,True,True,The banana is now on the tray as instructed.,actions/run_2026-08-19_04-10-27__01__ep1.csv,
run_2026-08-19_04-21-15__01__ep0,run_2026-08-19_04-21-15,01,0,put the stuffed animal on the tray,put everything on the tray,1,510,19.2,True,True,The stuffed animal is now on the tray as instructed.,actions/run_2026-08-19_04-21-15__01__ep0.csv,
run_2026-08-19_04-21-15__01__ep1,run_2026-08-19_04-21-15,01,1,put the banana on the tray,put everything on the tray,1,548,19.9,True,False,"The banana was picked up by the robot arm but was not placed on the tray; it was moved to the right side of the brown cylindrical object, still on the table.",actions/run_2026-08-19_04-21-15__01__ep1.csv,
run_2026-08-19_04-21-15__01__ep2,run_2026-08-19_04-21-15,01,2,put the banana on the tray,put everything on the tray,1,122,8.7,True,False,"The banana remains on the table, not on the tray.",actions/run_2026-08-19_04-21-15__01__ep2.csv,
run_2026-08-19_04-21-15__01__ep3,run_2026-08-19_04-21-15,01,3,put the banana on the tray,put everything on the tray,1,138,8.5,True,False,"The banana remains on the table, not on the tray.",actions/run_2026-08-19_04-21-15__01__ep3.csv,
run_2026-08-19_04-21-15__01__ep4,run_2026-08-19_04-21-15,01,4,put the banana on the tray,put everything on the tray,1,186,10.4,True,False,"The banana remains on the table, not on the tray.",actions/run_2026-08-19_04-21-15__01__ep4.csv,
run_2026-08-19_04-21-15__01__ep5,run_2026-08-19_04-21-15,01,5,put the brown pouch on the tray,put everything on the tray,1,450,16.2,True,False,The brown pouch remains on the table and has not been moved onto the tray.,actions/run_2026-08-19_04-21-15__01__ep5.csv,
run_2026-08-19_04-21-15__01__ep6,run_2026-08-19_04-21-15,01,6,put the brown pouch on the tray,put everything on the tray,1,233,10.2,False,,,actions/run_2026-08-19_04-21-15__01__ep6.csv,
run_2026-08-19_04-21-15__02__ep0,run_2026-08-19_04-21-15,02,0,put the banana on the tray,put everything on the tray,1,586,21.2,True,True,The banana is now on the tray as instructed.,actions/run_2026-08-19_04-21-15__02__ep0.csv,
run_2026-08-19_04-21-15__02__ep1,run_2026-08-19_04-21-15,02,1,put the stuffed animal on the tray,put everything on the tray,1,442,17.0,False,,,actions/run_2026-08-19_04-21-15__02__ep1.csv,
run_2026-08-19_04-21-15__02__ep2,run_2026-08-19_04-21-15,02,2,put the stuffed animal on the tray,put everything on the tray,1,190,8.8,False,,,actions/run_2026-08-19_04-21-15__02__ep2.csv,
run_2026-08-19_04-21-15__02__ep3,run_2026-08-19_04-21-15,02,3,put the box on the tray,put everything on the tray,1,419,16.2,False,,,actions/run_2026-08-19_04-21-15__02__ep3.csv,
